#Mode,Cons,transition via,allowed,not allowed
VR_H_Cover_Closed,0,AVRF023B+00:01:00 AVRF012A+00:01:00 AVRF023C+00:01:30 AVRS004A+00:01:00,VR_H_Cover_Open VR_H_Cover_Closed,null
SE_PW_On,2.3,,,null
ESS_PW_Off,0,AESF999B,ESS_PW_On ESS_PW_On_RF_Off ESS_PW_OnRFOn ESS_PWOnRFLink,null
ESS_PW_On,10.86,AESF001C+00:01:30 AESF001D+00:01:30,ESS_PW_Off,null
ESS_PW_OnRFOff,50,AESS205B AESF003A ALZC010B AESF007A,ESS_PW_OnRFOn ESS_PW_OnRFLink,null
ESS_PW_OnRFOn,50,AESS205A,ESS_PW_On ESS_PW_OnRFOff,null
ESS_PW_OnRFLink,50,AESS203A,ESS_PW_On ESS_PW_OnRFOn ESS_PW_OnRFOff,null
PTR_OBS,0,PTR,PTR_OBS PTR_SLEW PTR_MWNV PTR_MWOL PTR_MSLW PTR_MNAV PTR_MOCM PTR_Off,null
PTR_SLEW,0,PTR,PTR_OBS PTR_SLEW PTR_MWNV PTR_MWOL PTR_MSLW PTR_MNAV PTR_MOCM PTR_Off,null
PTR_MWNV,0,PTR,PTR_OBS PTR_SLEW PTR_MWNV PTR_MWOL PTR_MSLW PTR_MNAV PTR_MOCM PTR_Off,null
PTR_MWOL,0,PTR,PTR_OBS PTR_SLEW PTR_MWNV PTR_MWOL PTR_MSLW PTR_MNAV PTR_MOCM PTR_Off,null
PTR_MSLW,0,PTR,PTR_OBS PTR_SLEW PTR_MWNV PTR_MWOL PTR_MSLW PTR_MNAV PTR_MOCM PTR_Off,null
PTR_MNAV,0,PTR,PTR_OBS PTR_SLEW PTR_MWNV PTR_MWOL PTR_MSLW PTR_MNAV PTR_MOCM PTR_Off,null
PTR_MOCM,0,PTR,PTR_OBS PTR_SLEW PTR_MWNV PTR_MWOL PTR_MSLW PTR_MNAV PTR_MOCM PTR_Off,null
ALICE_Illum_False,0,EVTM_ALIE,ALICE_Illum_True,null
ALICE_Illum_True,0,EVTM_ALIS,ALICE_Illum_False,null
COSIMA_Illum_False,0,EVTM_CSIE,COSIMA_Illum_True,null
COSIMA_Illum_True,0,EVTM_CSIS,COSIMA_Illum_False,null
MIRO_Illum_False,0,EVTM_MRIE,MIRO_Illum_True,null
MIRO_Illum_True,0,EVTM_MRIS,MIRO_Illum_False,null
OSIRIS_Illum_False,0,EVTM_SRIE,OSIRIS_Illum_True,null
OSIRIS_Illum_True,0,EVTM_SRIS,OSIRIS_Illum_False,null
OSIRIS_Hard_Illum_False,0,EVTM_SRHE,OSIRIS_Hard_Illum_True,null
OSIRIS_Hard_Illum_True,0,EVTM_SRHS,OSIRIS_Hard_Illum_False,null
